Practicality,Inclusivity,Aesthetics,Accessibility,Evaluator
           3 ,          3 ,         3 ,            2 ,F1P1
           2 ,          2 ,         2 ,            3 ,F1P1
           2 ,          3 ,         2 ,            4 ,F1P1
           2 ,          3 ,         3 ,            3 ,F1P1
           3 ,          4 ,         3 ,            3 ,F1P1
           3 ,          4 ,         2 ,            2 ,F1P1
           3 ,          3 ,         2 ,            2 ,F1P1
           1 ,          2 ,         1 ,            1 ,F1P1
           2 ,          3 ,         2 ,            2 ,F1P1
           3 ,          3 ,         2 ,            2 ,F1P1
           2 ,          2 ,         1 ,            1 ,F1P1
           2 ,          2 ,         1 ,            1 ,F1P1
           2 ,          2 ,         1 ,            2 ,F1P1
           3 ,          3 ,         3 ,            3 ,F1P1
           2 ,          2 ,         1 ,            3 ,F1P1
           3 ,          3 ,         3 ,            4 ,F1P1
           2 ,          3 ,         2 ,            2 ,F1P1
           3 ,          3 ,         2 ,            4 ,F1P1
           3 ,          4 ,         3 ,            1 ,F1P1
           2 ,          2 ,         1 ,            1 ,F1P1
           3 ,          4 ,         4 ,            4 ,F1P2
           4 ,          2 ,         2 ,            4 ,F1P2
           3 ,          4 ,         3 ,            4 ,F1P2
           3 ,          3 ,         3 ,            3 ,F1P2
           2 ,          3 ,         3 ,            3 ,F1P2
           3 ,          4 ,         3 ,            4 ,F1P2
           3 ,          2 ,         3 ,            4 ,F1P2
           2 ,          1 ,         1 ,            2 ,F1P2
           2 ,          1 ,         2 ,            2 ,F1P2
           3 ,          4 ,         4 ,            4 ,F1P2
           3 ,          1 ,         2 ,            4 ,F1P2
           2 ,          2 ,         3 ,            3 ,F1P2
           3 ,          3 ,         3 ,            4 ,F1P2
           4 ,          3 ,         3 ,            3 ,F1P2
           3 ,          3 ,         2 ,            3 ,F1P2
           3 ,          3 ,         2 ,            3 ,F1P2
           2 ,          1 ,         2 ,            3 ,F1P2
           4 ,          4 ,         3 ,            4 ,F1P2
           2 ,          2 ,         4 ,            1 ,F1P2
           3 ,          3 ,         2 ,            3 ,F1P2
           3 ,          3 ,         2 ,            2 ,F1P3
           2 ,          2 ,         2 ,            3 ,F1P3
           2 ,          1 ,         1 ,            2 ,F1P3
           2 ,          3 ,         2 ,            3 ,F1P3
           3 ,          3 ,         3 ,            3 ,F1P3
           3 ,          2 ,         3 ,            2 ,F1P3
           2 ,          2 ,         1 ,            1 ,F1P3
           1 ,          1 ,         1 ,            1 ,F1P3
           2 ,          2 ,         1 ,            1 ,F1P3
           3 ,          2 ,         2 ,            1 ,F1P3
           2 ,          1 ,         1 ,            1 ,F1P3
           2 ,          2 ,         2 ,            2 ,F1P3
           3 ,          1 ,         3 ,            3 ,F1P3
           2 ,          3 ,         2 ,            3 ,F1P3
           3 ,          1 ,         1 ,            2 ,F1P3
           3 ,          1 ,         3 ,            1 ,F1P3
           1 ,          1 ,         1 ,            2 ,F1P3
           4 ,          2 ,         3 ,            2 ,F1P3
           3 ,          2 ,         4 ,            2 ,F1P3
           3 ,          2 ,         2 ,            3 ,F1P3
           2 ,          2 ,         3 ,            2 ,F2P1
           3 ,          3 ,         2 ,            4 ,F2P1
           3 ,          2 ,         1 ,            3 ,F2P1
           2 ,          3 ,         2 ,            3 ,F2P1
           1 ,          1 ,         3 ,            1 ,F2P1
           2 ,          3 ,         1 ,            2 ,F2P1
           2 ,          2 ,         2 ,            2 ,F2P1
           1 ,          1 ,         1 ,            2 ,F2P1
           1 ,          2 ,         2 ,            1 ,F2P1
           2 ,          3 ,         1 ,            3 ,F2P1
           1 ,          1 ,         1 ,            2 ,F2P1
           2 ,          2 ,         1 ,            2 ,F2P1
           2 ,          3 ,         2 ,            3 ,F2P1
           3 ,          3 ,         3 ,            3 ,F2P1
           3 ,          3 ,         2 ,            3 ,F2P1
           3 ,          4 ,         3 ,            4 ,F2P1
           3 ,          3 ,         2 ,            3 ,F2P1
           3 ,          3 ,         4 ,            3 ,F2P1
           1 ,          1 ,         1 ,            1 ,F2P1
           2 ,          3 ,         1 ,            3 ,F2P1
           3 ,          1 ,         1 ,            2 ,F2P2
           1 ,          2 ,         2 ,            3 ,F2P2
           2 ,          2 ,         1 ,            2 ,F2P2
           3 ,          3 ,         2 ,            3 ,F2P2
           2 ,          1 ,         4 ,            1 ,F2P2
           3 ,          1 ,         1 ,            1 ,F2P2
           2 ,          1 ,         1 ,            1 ,F2P2
           1 ,          1 ,         1 ,            1 ,F2P2
           2 ,          2 ,         2 ,            1 ,F2P2
           3 ,          1 ,         2 ,            1 ,F2P2
           1 ,          1 ,         1 ,            1 ,F2P2
           1 ,          1 ,         1 ,            2 ,F2P2
           1 ,          1 ,         2 ,            2 ,F2P2
           2 ,          1 ,         2 ,            1 ,F2P2
           2 ,          1 ,         1 ,            2 ,F2P2
           4 ,          3 ,         3 ,            4 ,F2P2
           1 ,          1 ,         1 ,            2 ,F2P2
           4 ,          3 ,         4 ,            3 ,F2P2
           4 ,          1 ,         3 ,            1 ,F2P2
           1 ,          1 ,         1 ,            2 ,F2P2
           4 ,          3 ,         4 ,            3 ,F2P3
           2 ,          3 ,         3 ,            4 ,F2P3
           3 ,          3 ,         1 ,            3 ,F2P3
           3 ,          3 ,         1 ,            4 ,F2P3
           3 ,          3 ,         1 ,            2 ,F2P3
           4 ,          2 ,         4 ,            4 ,F2P3
           3 ,          1 ,         1 ,            1 ,F2P3
           1 ,          1 ,         1 ,            1 ,F2P3
           2 ,          1 ,         1 ,            2 ,F2P3
           3 ,          2 ,         1 ,            3 ,F2P3
           3 ,          3 ,         2 ,            4 ,F2P3
           2 ,          1 ,         1 ,            1 ,F2P3
           4 ,          1 ,         1 ,            2 ,F2P3
           2 ,          2 ,         1 ,            2 ,F2P3
           2 ,          1 ,         1 ,            2 ,F2P3
           4 ,          4 ,         2 ,            4 ,F2P3
           1 ,          1 ,         1 ,            1 ,F2P3
           3 ,          4 ,         1 ,            4 ,F2P3
           4 ,          2 ,         4 ,            2 ,F2P3
           2 ,          2 ,         1 ,            1 ,F2P3
           4 ,          3 ,         3 ,            3 ,F2P4
           2 ,          2 ,         3 ,            4 ,F2P4
           3 ,          3 ,         2 ,            3 ,F2P4
           4 ,          4 ,         2 ,            4 ,F2P4
           3 ,          3 ,         2 ,            3 ,F2P4
           4 ,          3 ,         2 ,            3 ,F2P4
           4 ,          3 ,         1 ,            3 ,F2P4
           2 ,          3 ,         1 ,            2 ,F2P4
           3 ,          3 ,         3 ,            3 ,F2P4
           3 ,          3 ,         2 ,            4 ,F2P4
           3 ,          3 ,         3 ,            3 ,F2P4
           3 ,          2 ,         2 ,            2 ,F2P4
           3 ,          3 ,         2 ,            4 ,F2P4
           4 ,          3 ,         3 ,            3 ,F2P4
           3 ,          3 ,         2 ,            3 ,F2P4
           4 ,          4 ,         2 ,            4 ,F2P4
           3 ,          4 ,         2 ,            4 ,F2P4
           4 ,          3 ,         2 ,            4 ,F2P4
           4 ,          1 ,         3 ,            2 ,F2P4
           4 ,          1 ,         1 ,            2 ,F2P4
           3 ,          2 ,         3 ,            3 ,F2P5
           2 ,          4 ,         2 ,            4 ,F2P5
           2 ,          2 ,         2 ,            2 ,F2P5
           3 ,          4 ,         4 ,            4 ,F2P5
           3 ,          3 ,         3 ,            3 ,F2P5
           4 ,          2 ,         2 ,            2 ,F2P5
           2 ,          2 ,         2 ,            3 ,F2P5
           2 ,          2 ,         1 ,            3 ,F2P5
           2 ,          2 ,         2 ,            3 ,F2P5
           3 ,          2 ,         2 ,            3 ,F2P5
           2 ,          1 ,         2 ,            2 ,F2P5
           2 ,          2 ,         2 ,            3 ,F2P5
           3 ,          2 ,         2 ,            3 ,F2P5
           2 ,          3 ,         3 ,            3 ,F2P5
           3 ,          3 ,         1 ,            3 ,F2P5
           4 ,          2 ,         3 ,            3 ,F2P5
           2 ,          2 ,         2 ,            3 ,F2P5
           3 ,          4 ,         3 ,            3 ,F2P5
           3 ,          2 ,         3 ,            1 ,F2P5
           3 ,          1 ,         1 ,            3 ,F2P5
           2 ,          2 ,         4 ,            2 ,F3P1
           3 ,          2 ,         2 ,            3 ,F3P1
           2 ,          1 ,         2 ,            3 ,F3P1
           1 ,          2 ,         1 ,            1 ,F3P1
           2 ,          2 ,         2 ,            2 ,F3P1
           4 ,          2 ,         1 ,            4 ,F3P1
           2 ,          2 ,         3 ,            2 ,F3P1
           3 ,          2 ,         1 ,            2 ,F3P1
           2 ,          2 ,         3 ,            4 ,F3P1
           3 ,          2 ,         1 ,            3 ,F3P1
           2 ,          1 ,         1 ,            4 ,F3P1
           2 ,          2 ,         2 ,            3 ,F3P1
           3 ,          2 ,         1 ,            3 ,F3P1
           2 ,          3 ,         2 ,            2 ,F3P1
           3 ,          2 ,         1 ,            3 ,F3P1
           1 ,          1 ,         1 ,            1 ,F3P1
           3 ,          2 ,         1 ,            3 ,F3P1
           1 ,          1 ,         1 ,            1 ,F3P1
           1 ,          1 ,         3 ,            1 ,F3P1
           4 ,          2 ,         1 ,            4 ,F3P1
           3 ,          3 ,         4 ,            2 ,F3P2
           3 ,          3 ,         2 ,            3 ,F3P2
           3 ,          2 ,         2 ,            3 ,F3P2
           4 ,          3 ,         4 ,            3 ,F3P2
           4 ,          3 ,         4 ,            3 ,F3P2
           3 ,          3 ,         3 ,            2 ,F3P2
           3 ,          2 ,         3 ,            2 ,F3P2
           3 ,          2 ,         1 ,            2 ,F3P2
           2 ,          3 ,         4 ,            3 ,F3P2
           4 ,          3 ,         3 ,            3 ,F3P2
           3 ,          2 ,         2 ,            1 ,F3P2
           2 ,          2 ,         3 ,            2 ,F3P2
           3 ,          3 ,         2 ,            3 ,F3P2
           3 ,          4 ,         4 ,            3 ,F3P2
           4 ,          3 ,         2 ,            2 ,F3P2
           3 ,          3 ,         3 ,            3 ,F3P2
           2 ,          3 ,         3 ,            2 ,F3P2
           4 ,          3 ,         2 ,            3 ,F3P2
           3 ,          2 ,         4 ,            2 ,F3P2
           3 ,          1 ,         1 ,            2 ,F3P2
           2 ,          2 ,         4 ,            2 ,F3P3
           3 ,          2 ,         2 ,            3 ,F3P3
           4 ,          2 ,         1 ,            3 ,F3P3
           1 ,          3 ,         2 ,            4 ,F3P3
           3 ,          3 ,         3 ,            2 ,F3P3
           3 ,          2 ,         2 ,            2 ,F3P3
           2 ,          1 ,         3 ,            2 ,F3P3
           2 ,          1 ,         1 ,            1 ,F3P3
           2 ,          3 ,         3 ,            4 ,F3P3
           3 ,          2 ,         1 ,            2 ,F3P3
           3 ,          2 ,         2 ,            3 ,F3P3
           2 ,          1 ,         2 ,            1 ,F3P3
           3 ,          2 ,         2 ,            3 ,F3P3
           4 ,          4 ,         4 ,            3 ,F3P3
           3 ,          1 ,         1 ,            2 ,F3P3
           3 ,          2 ,         4 ,            3 ,F3P3
           2 ,          1 ,         2 ,            2 ,F3P3
           3 ,          4 ,         2 ,            4 ,F3P3
           2 ,          1 ,         2 ,            1 ,F3P3
           4 ,          1 ,         1 ,            1 ,F3P3
           2 ,          2 ,         2 ,            2 ,F3P4
           2 ,          2 ,         2 ,            3 ,F3P4
           2 ,          2 ,         2 ,            2 ,F3P4
           3 ,          3 ,         3 ,            2 ,F3P4
           3 ,          2 ,         2 ,            2 ,F3P4
           3 ,          2 ,         2 ,            2 ,F3P4
           2 ,          2 ,         2 ,            1 ,F3P4
           2 ,          1 ,         1 ,            1 ,F3P4
           1 ,          2 ,         2 ,            1 ,F3P4
           3 ,          3 ,         2 ,            2 ,F3P4
           2 ,          3 ,         2 ,            2 ,F3P4
           1 ,          1 ,         1 ,            1 ,F3P4
           2 ,          2 ,         2 ,            2 ,F3P4
           3 ,          3 ,         4 ,            3 ,F3P4
           2 ,          2 ,         1 ,            2 ,F3P4
           4 ,          4 ,         3 ,            3 ,F3P4
           2 ,          2 ,         2 ,            2 ,F3P4
           4 ,          4 ,         3 ,            3 ,F3P4
           3 ,          2 ,         3 ,            2 ,F3P4
           2 ,          1 ,         1 ,            1 ,F3P4
